customer_id,first_name,last_name,email,phone,address,city,state,country,zip_code,date_of_birth,registration_date,row_hash
CUST-00001,Bradley,Graham,michaeljones@example.net,895-814-8465x64823,946 Kevin Fords,Floydmouth,NH,US,58406,1973-01-03,2023-09-22T05:13:29.118517,7d0e35a4797475e62ecece135d7e77ab
CUST-00002,Thomas,Santana,donnacampbell@example.net,+1-395-913-4332x0037,936 Ross Drive Apt. 163,Port Susan,NC,US,61390,1948-04-25,2023-10-18T02:26:08.081530,cca719d53c4308c3a446a1923a43a39e
CUST-00003,Melinda,Bryant,jcontreras@example.net,979-586-8727x74348,1434 Flores Plains Apt. 223,Bensonborough,CA,US,54878,1970-10-30,2023-11-25T23:54:24.968652,00f84576d8b83b2430582b181cf1868f
CUST-00004,Robert,Clark,xprice@example.net,001-509-967-0546x688,6706 Caldwell Union,Ramseymouth,PW,US,17229,2006-12-08,2024-10-12T11:52:01.534623,a9ae33fb2b0ea85336fe75809d63b705
CUST-00005,Rebecca,Vargas,millerroy@example.com,(804)665-3755,1708 Zoe Keys Apt. 100,East Mary,RI,US,20474,1960-03-06,2024-10-03T04:40:07.105557,1e0ef9d7f5ed4465cad306560b45be43
CUST-00006,Danny,Gould,xlyons@example.com,(699)812-4190,319 Curtis Trail Suite 919,West Amandastad,CA,US,66818,1985-12-11,2024-07-28T20:02:16.140471,205a246a96baf128751ee502630950a0
CUST-00007,Robert,Henry,oyu@example.com,001-626-728-4987x769,47379 Rogers Park,Hunterborough,MI,US,34363,1966-08-05,2023-03-11T19:23:13.687849,20a81cbc1168e434f8179b8e925d0d55
CUST-00008,Jacqueline,Hill,blackjames@example.org,001-567-683-7770x1436,8856 Bell Motorway Suite 443,Lake Jamesville,WA,US,70737,2005-01-20,2025-10-17T12:41:27.590267,27b7ac995de4918a5b1b4a9aef0c01c5
CUST-00009,James,Rodgers,jenny89@example.com,434-635-2408,84271 Audrey Mountains,Alexanderburgh,AR,US,33593,2004-06-08,2025-03-23T04:05:39.224505,3fbdc3035b6f76ecf9f27706760f3777
CUST-00010,Lynn,Morales,rayglenda@example.org,(594)813-1869,4964 Chelsea Streets Apt. 334,East Johnside,CA,US,21018,1945-04-27,2024-08-02T09:38:53.526114,3d80df0c8576d987ab105d68a36956b1
CUST-00011,Brittney,Carter,keithcampbell@example.com,434-693-6183,02499 Gonzales Mountain,Hollyview,NY,US,71277,1976-04-05,2024-07-03T13:41:31.420928,f9e32fb7b1d58fde9821550896df1672
CUST-00012,Bill,Reynolds,cassandra01@example.org,+1-899-904-9027x87429,5655 Mia Isle,Steeleport,TN,US,52989,1996-05-28,2023-05-25T02:04:18.851212,aac36a7f1e66f97efc8fcddaa69e76cd
