customer_id,first_name,last_name,email,phone,address,city,state,country,zip_code,date_of_birth,registration_date,row_hash
39eb7b58-ee46-422d-84d9-6b921bf2e40b,Bradley,Graham,michaeljones@example.net,895-814-8465x64823,946 Kevin Fords,Floydmouth,NH,US,58406,1973-01-04,2023-09-23T03:37:06.118517,cd079c66bd9c7b0d98b25866478a1077
c6d26cc2-b3ad-4001-99c4-126e34664f7c,Thomas,Santana,donnacampbell@example.net,+1-395-913-4332x0037,936 Ross Drive Apt. 163,Port Susan,NC,US,61390,1948-04-26,2023-10-19T00:49:45.081530,178e00dcf10c39fa16b71b3768fa0e7b
d8c71cb9-b9cc-458e-9796-406d653bab6e,Melinda,Bryant,jcontreras@example.net,979-586-8727x74348,1434 Flores Plains Apt. 223,Bensonborough,CA,US,54878,1970-10-31,2023-11-26T22:18:01.968652,a3e3411808ad2e38ce4f1669283ee089
ae1cbd49-695e-4105-8d5b-d2bd516930d7,Robert,Clark,xprice@example.net,001-509-967-0546x688,6706 Caldwell Union,Ramseymouth,PW,US,17229,2006-12-09,2024-10-13T10:15:38.534623,75c31e4d36544f6ca398093c61da7bd6
522d8fd1-6c6f-4341-987d-e9a9c3e5589e,Rebecca,Vargas,millerroy@example.com,(804)665-3755,1708 Zoe Keys Apt. 100,East Mary,RI,US,20474,1960-03-07,2024-10-04T03:03:44.105557,4874970a08152b4c371ede433cec5f63
67b395a4-53e8-40ed-a433-95b7da4c6aa9,Danny,Gould,xlyons@example.com,(699)812-4190,319 Curtis Trail Suite 919,West Amandastad,CA,US,66818,1985-12-12,2024-07-29T18:25:53.140471,a9343bd5f632728c8a77634c8397341a
1cf6d66b-9142-4d3e-9ead-da1fed42ef5b,Robert,Henry,oyu@example.com,001-626-728-4987x769,47379 Rogers Park,Hunterborough,MI,US,34363,1966-08-06,2023-03-12T17:46:50.687849,3a74501eba883ab07a3afe59de8f74ca
c7513790-b24e-4a4a-a1cf-4ab3b107e2f3,Jacqueline,Hill,blackjames@example.org,001-567-683-7770x1436,8856 Bell Motorway Suite 443,Lake Jamesville,WA,US,70737,2005-01-21,2025-10-18T11:05:04.590267,d23d5475366af207538c62931623be42
e678a595-4236-4301-9217-e729e7b493ea,James,Rodgers,jenny89@example.com,434-635-2408,84271 Audrey Mountains,Alexanderburgh,AR,US,33593,2004-06-09,2025-03-24T02:29:16.224505,606fee879267a591e63ceeab2579f8df
406d5ddf-0a70-47ca-8148-7c88be2dbd10,Lynn,Morales,rayglenda@example.org,(594)813-1869,4964 Chelsea Streets Apt. 334,East Johnside,CA,US,21018,1945-04-28,2024-08-03T08:02:30.526114,4b4792ef3657df913e05fa517bc23149
a960a81f-71f9-47a5-ac4d-65ebab6fca62,Brittney,Carter,keithcampbell@example.com,434-693-6183,02499 Gonzales Mountain,Hollyview,NY,US,71277,1976-04-06,2024-07-04T12:05:08.420928,b1e1b5f10cdeddeca31633256d17d8cd
470c402a-495e-4844-ab9a-e4914489ac23,Bill,Reynolds,cassandra01@example.org,+1-899-904-9027x87429,5655 Mia Isle,Steeleport,TN,US,52989,1996-05-29,2023-05-26T00:27:55.851212,6b004101cfd3415ebef1772592f048ad
ecedd7f5-6e98-407d-b835-bb97652448a9,Shawn,Edwards,darrell68@example.org,+1-487-660-3859x77034,710 Jennifer Inlet Apt. 861,Port Robin,NH,US,15897,1985-12-16,2024-10-21T15:06:29.391453,f447b096f0a4e622b293fa71ea8855d8
c8f98ca0-f18a-4448-a964-47c3a1019074,Sarah,Carter,robert77@example.org,682.263.9821x465,499 Grimes Mission Suite 558,Gibsonmouth,VI,US,25228,2006-12-10,2023-08-14T14:05:07.375624,86c4e021a86ac6478954c45627b9eb93
af18cb12-664f-476b-af83-6da77317c305,Patrick,Chase,vwilliams@example.com,001-366-927-0289x517,262 Terrance Greens,Cindyfurt,SD,US,11028,1998-10-25,2023-11-15T12:59:59.537772,eacff6bcd5e9885e5b907943ae4a7a7e
95bc3434-5e36-44c7-8e11-e49e6340883f,Michele,James,courtney78@example.org,+1-213-243-1611x724,45562 Amanda Port Apt. 221,Harveybury,NM,US,76936,1954-03-04,2025-09-17T19:19:20.619691,1f3134ce58b4b457ca744b7ed763fa89
22936126-e73c-4dba-b815-1663171a576a,Jonathan,Scott,nolansteven@example.com,+1-982-317-5946x47436,9594 Johnson Village,Hillshire,VI,US,90390,1994-03-09,2024-07-16T04:03:07.216500,37efb56999bda9d57ab6530b8a6be3ab
c84bdcc6-313f-4e73-89c9-1a65343502a9,Renee,Mcgee,kimberly39@example.com,239.742.1047,45623 Kristin Wells,Alyssaview,MP,US,22068,1961-05-05,2026-01-28T16:10:10.178486,3f2a6966a746ce8ec9b9a6ed247cb02f
3f539bf2-9e4a-4362-a424-640415c18f63,Timothy,Drake,linda71@example.org,001-836-785-1604x81754,370 Herman Forges,Lake Madisonport,SD,US,54017,1952-07-03,2025-08-18T12:09:45.088871,2fac2633357979ccf2aefd375b60c08b
8bcccce0-a5f2-49eb-9fe9-7a9e4cbe78f7,Benjamin,Ferrell,davispaige@example.org,(275)786-9261x7964,7351 Stephens Rue,Bruceview,ID,US,16512,2004-12-09,2023-04-17T13:33:41.030774,3c4f6933ee07bef30ae689ed4e6ea5f2
