customer_id,first_name,last_name,email,phone,address,city,state,country,zip_code,date_of_birth,registration_date,row_hash
b5e42257-5e17-4e0f-a7c2-18b90695e9f7,Bradley,Graham,michaeljones@example.net,895-814-8465x64823,946 Kevin Fords,Floydmouth,NH,US,58406,1973-01-04,2023-09-23T03:37:16.118517,e1ce3dfe10d379289dd088eebd31a97d
f644024d-f96b-496c-9a28-7177aa601584,Thomas,Santana,donnacampbell@example.net,+1-395-913-4332x0037,936 Ross Drive Apt. 163,Port Susan,NC,US,61390,1948-04-26,2023-10-19T00:49:55.081530,315eb827e8da3f7cd75673b61325ce03
30b09de1-513c-4849-b7de-dd1727150491,Melinda,Bryant,jcontreras@example.net,979-586-8727x74348,1434 Flores Plains Apt. 223,Bensonborough,CA,US,54878,1970-10-31,2023-11-26T22:18:11.968652,69a3cb2e2c4563f274b7054e5b783290
162adec8-2c62-448f-adcd-4375eaebd862,Robert,Clark,xprice@example.net,001-509-967-0546x688,6706 Caldwell Union,Ramseymouth,PW,US,17229,2006-12-09,2024-10-13T10:15:48.534623,a83f57d6030285c186e551453134e5f6
52c87dbc-a013-491b-a220-282a876e2854,Rebecca,Vargas,millerroy@example.com,(804)665-3755,1708 Zoe Keys Apt. 100,East Mary,RI,US,20474,1960-03-07,2024-10-04T03:03:54.105557,8c67b3bcdf234d6217c500885901b500
f64bb700-b359-4d70-bc61-964f5dad5766,Danny,Gould,xlyons@example.com,(699)812-4190,319 Curtis Trail Suite 919,West Amandastad,CA,US,66818,1985-12-12,2024-07-29T18:26:03.140471,6307ca3ae6f619f69ae104f6bb0a22a2
b3bc3c2f-3fbf-4e65-b5ba-73b27e93534a,Robert,Henry,oyu@example.com,001-626-728-4987x769,47379 Rogers Park,Hunterborough,MI,US,34363,1966-08-06,2023-03-12T17:47:00.687849,2cc573eb6f5ef237e5a7655e1871c246
33130244-b3be-4bfe-aef0-40dcc680b4ee,Jacqueline,Hill,blackjames@example.org,001-567-683-7770x1436,8856 Bell Motorway Suite 443,Lake Jamesville,WA,US,70737,2005-01-21,2025-10-18T11:05:14.590267,0f67346efa851c022f63f64027f9b112
1de7b9c1-fa2a-4db0-bf0d-fb8947db43ce,James,Rodgers,jenny89@example.com,434-635-2408,84271 Audrey Mountains,Alexanderburgh,AR,US,33593,2004-06-09,2025-03-24T02:29:26.224505,1bd1bcd556f57372bae56fd2f8569d37
e84179d1-3711-43fd-8720-5852716110de,Lynn,Morales,rayglenda@example.org,(594)813-1869,4964 Chelsea Streets Apt. 334,East Johnside,CA,US,21018,1945-04-28,2024-08-03T08:02:40.526114,3c8c593f254c5da69a8d0bfc8c09ccbf
d95b69f6-10ce-4043-b14c-6406276b42b5,Brittney,Carter,keithcampbell@example.com,434-693-6183,02499 Gonzales Mountain,Hollyview,NY,US,71277,1976-04-06,2024-07-04T12:05:18.420928,988a575cd42253e85b16ae99924a369b
d476920c-ff54-4b0d-8d4b-2b32ede70fc4,Bill,Reynolds,cassandra01@example.org,+1-899-904-9027x87429,5655 Mia Isle,Steeleport,TN,US,52989,1996-05-29,2023-05-26T00:28:05.851212,e436ad1a1714e8ad86bfe6f16938228b
cae735cf-f4a5-450b-8ed1-fb8346d4bbad,Shawn,Edwards,darrell68@example.org,+1-487-660-3859x77034,710 Jennifer Inlet Apt. 861,Port Robin,NH,US,15897,1985-12-16,2024-10-21T15:06:39.391453,8b4ac74bc517f79365de0828d77459c6
